user_id,display_name,player_id,full_name,position,team,adp,vor
725887513603932160,lakedawson,4035,Alvin Kamara,RB,NO,33.8,93.20000000000002
725887513603932160,lakedawson,5872,Deebo Samuel,WR,SF,30.0,71.55999999999997
725887513603932160,lakedawson,2216,Mike Evans,WR,TB,40.0,54.900000000000006
725887513603932160,lakedawson,2505,Darren Waller,TE,LV,47.7,44.400000000000006
725887513603932160,lakedawson,7591,Justin Fields,QB,CHI,61.6,40.460000000000036
725887513603932160,lakedawson,2306,Jameis Winston,QB,NO,87.1,23.100000000000023
725887513603932160,lakedawson,6869,Adam Trautman,TE,NO,271.0,-92.4
792484068049686528,yejinkim4,4029,Dalvin Cook,RB,MIN,16.2,104.9
792484068049686528,yejinkim4,4046,Patrick Mahomes,QB,KC,4.8,95.38
792484068049686528,yejinkim4,5012,Mark Andrews,TE,BAL,21.6,67.19999999999999
792484068049686528,yejinkim4,4068,Mike Williams,WR,LAC,64.6,44.099999999999994
792484068049686528,yejinkim4,6806,J.K. Dobbins,RB,BAL,65.3,36.5
792484068049686528,yejinkim4,7547,Amon-Ra St. Brown,WR,DET,77.9,22.299999999999983
792484068049686528,yejinkim4,6843,Albert Okwuegbunam,TE,DEN,130.5,-2.8000000000000114
792484068049686528,yejinkim4,3163,Jared Goff,QB,DET,121.6,-19.019999999999982
792484337131032576,abnw24,4039,Cooper Kupp,WR,LAR,5.5,128.70000000000002
792484337131032576,abnw24,4881,Lamar Jackson,QB,BAL,5.0,97.86000000000001
792484337131032576,abnw24,1466,Travis Kelce,TE,KC,15.0,93.9
792484337131032576,abnw24,4988,Nick Chubb,RB,CLE,28.8,53.0
792484337131032576,abnw24,7561,Elijah Mitchell,RB,SF,67.7,33.400000000000006
792484337131032576,abnw24,6768,Tua Tagovailoa,QB,MIA,55.0,30.840000000000032
792484337131032576,abnw24,1992,Allen Robinson,WR,LAR,77.4,16.69999999999999
792484337131032576,abnw24,1339,Zach Ertz,TE,ARI,85.9,8.300000000000011
792485519014625280,Jprice08,3198,Derrick Henry,RB,TEN,14.5,93.79999999999998
792485519014625280,Jprice08,4866,Saquon Barkley,RB,NYG,32.6,89.29999999999998
792485519014625280,Jprice08,5849,Kyler Murray,QB,ARI,10.5,89.22000000000003
792485519014625280,Jprice08,5859,A.J. Brown,WR,PHI,41.3,60.19999999999999
792485519014625280,Jprice08,6943,Gabriel Davis,WR,BUF,91.8,22.799999999999983
792485519014625280,Jprice08,7538,Zach Wilson,QB,NYJ,106.4,0.0
792485519014625280,Jprice08,5857,Noah Fant,TE,SEA,149.7,-46.0
792485519014625280,Jprice08,4602,Robert Tonyan,TE,GB,167.5,-61.099999999999994
