user_id,total_moves,season_points,wins,points_standing,season_standing,league_id
603381872084455424,0,2141,11.0,2.0,2,736613394194526208
464931905846898688,0,1965,9.0,3.0,4,736613394194526208
465708832895528960,0,1950,10.0,4.0,3,736613394194526208
602325061323522048,0,1743,8.0,7.0,6,736613394194526208
635688510032015360,0,1623,3.0,8.0,11,736613394194526208
366578324832563200,0,1875,5.0,6.0,7,712404306359296000
469538789589512192,0,1787,5.0,7.0,8,712404306359296000
469570898509164544,0,1900,8.0,5.0,4,712404306359296000
469591196113563648,0,1678,6.0,9.0,6,712404306359296000
736666387384250368,0,1666,2.0,10.0,10,712404306359296000
470302970496413696,0,1716,5.0,8.0,9,712404306359296000
471462933864378368,0,1907,10.0,4.0,3,712404306359296000
471827790992240640,0,2139,13.0,1.0,1,712404306359296000
471853708762673152,0,1998,6.0,2.0,5,712404306359296000
736817775628144640,0,1943,10.0,3.0,2,712404306359296000
